Amazon,,Apple,,Microsoft,
9/12/2014,16.56,9/12/2014,1/25/1900,9/12/2014,46.695
9/19/2014,16.566,9/19/2014,1/25/1900,9/19/2014,47.52
9/26/2014,16.16,9/26/2014,1/25/1900,9/26/2014,46.41
10/3/2014,16.137,10/3/2014,1/24/1900,10/3/2014,46.09
10/10/2014,15.57,10/10/2014,1/25/1900,10/10/2014,44.03
10/17/2014,15.182,10/17/2014,1/24/1900,10/17/2014,43.63
10/24/2014,14.353,10/24/2014,1/26/1900,10/24/2014,46.13
10/31/2014,15.273,10/31/2014,1/27/1900,10/31/2014,46.95
11/7/2014,14.993,11/7/2014,1/27/1900,11/7/2014,48.68
11/14/2014,16.391,11/14/2014,1/28/1900,11/14/2014,49.58
11/21/2014,16.632,11/21/2014,1/29/1900,11/21/2014,47.98
11/28/2014,16.932,11/28/2014,1/29/1900,11/28/2014,47.81
12/5/2014,15.631,12/5/2014,1/28/1900,12/5/2014,48.42
12/12/2014,15.366,12/12/2014,1/27/1900,12/12/2014,46.95
12/19/2014,14.995,12/19/2014,1/27/1900,12/19/2014,47.66
12/26/2014,15.455,12/26/2014,1/28/1900,12/26/2014,47.88
1/2/2015,15.426,1/2/2015,1/27/1900,1/2/2015,46.76
1/9/2015,14.847,1/9/2015,1/28/1900,1/9/2015,47.19
1/16/2015,14.537,1/16/2015,1/26/1900,1/16/2015,46.24
1/23/2015,15.619,1/23/2015,1/28/1900,1/23/2015,47.18
1/30/2015,17.726,1/30/2015,1/29/1900,1/30/2015,40.4
2/6/2015,18.714,2/6/2015,1/29/1900,2/6/2015,42.41
2/13/2015,19.092,2/13/2015,1/31/1900,2/13/2015,43.87
2/20/2015,19.183,2/20/2015,2/1/1900,2/20/2015,43.855
2/27/2015,19.008,2/27/2015,2/1/1900,2/27/2015,43.85
3/6/2015,19.005,3/6/2015,1/31/1900,3/6/2015,42.36
3/13/2015,18.529,3/13/2015,1/30/1900,3/13/2015,41.38
3/20/2015,18.925,3/20/2015,1/31/1900,3/20/2015,42.88
3/27/2015,18.528,3/27/2015,1/30/1900,3/27/2015,40.97
4/3/2015,18.613,4/3/2015,1/31/1900,4/3/2015,40.29
4/10/2015,19.133,4/10/2015,1/31/1900,4/10/2015,41.72
4/17/2015,18.778,4/17/2015,1/31/1900,4/17/2015,41.615
4/24/2015,22.255,4/24/2015,2/1/1900,4/24/2015,47.87
5/1/2015,21.144,5/1/2015,2/1/1900,5/1/2015,48.655
5/8/2015,21.685,5/8/2015,1/31/1900,5/8/2015,47.75
5/15/2015,21.3,5/15/2015,2/1/1900,5/15/2015,48.295
5/22/2015,21.382,5/22/2015,2/2/1900,5/22/2015,46.9
5/29/2015,21.462,5/29/2015,2/1/1900,5/29/2015,46.86
6/5/2015,21.348,6/5/2015,2/1/1900,6/5/2015,46.14
6/12/2015,21.496,6/12/2015,1/31/1900,6/12/2015,45.97
6/19/2015,21.746,6/19/2015,1/31/1900,6/19/2015,46.1
6/26/2015,21.905,6/26/2015,1/31/1900,6/26/2015,45.26
7/3/2015,21.886,7/3/2015,1/31/1900,7/3/2015,44.4
7/10/2015,22.176,7/10/2015,1/30/1900,7/10/2015,44.61
7/17/2015,24.151,7/17/2015,2/1/1900,7/17/2015,46.62
7/24/2015,26.471,7/24/2015,1/31/1900,7/24/2015,45.94
7/31/2015,26.807,7/31/2015,1/30/1900,7/31/2015,46.7
8/7/2015,26.131,8/7/2015,1/28/1900,8/7/2015,46.74
8/14/2015,26.576,8/14/2015,1/28/1900,8/14/2015,47
8/21/2015,24.724,8/21/2015,1/26/1900,8/21/2015,43.07
8/28/2015,25.901,8/28/2015,1/28/1900,8/28/2015,43.93
9/4/2015,24.95,9/4/2015,1/27/1900,9/4/2015,42.61
9/11/2015,26.472,9/11/2015,1/28/1900,9/11/2015,43.48
9/18/2015,27.013,9/18/2015,1/28/1900,9/18/2015,43.48
9/25/2015,26.213,9/25/2015,1/28/1900,9/25/2015,43.94
10/2/2015,26.627,10/2/2015,1/27/1900,10/2/2015,45.57
10/9/2015,26.99,10/9/2015,1/28/1900,10/9/2015,47.11
10/16/2015,28.538,10/16/2015,1/27/1900,10/16/2015,47.51
10/23/2015,29.952,10/23/2015,1/29/1900,10/23/2015,52.87
10/30/2015,31.295,10/30/2015,1/29/1900,10/30/2015,52.64
11/6/2015,32.969,11/6/2015,1/30/1900,11/6/2015,54.92
11/13/2015,32.118,11/13/2015,1/28/1900,11/13/2015,52.84
11/20/2015,33.423,11/20/2015,1/29/1900,11/20/2015,54.19
11/27/2015,33.663,11/27/2015,1/29/1900,11/27/2015,53.93
12/4/2015,33.632,12/4/2015,1/29/1900,12/4/2015,55.91
12/11/2015,32.008,12/11/2015,1/28/1900,12/11/2015,54.06
12/18/2015,33.207,12/18/2015,1/26/1900,12/18/2015,54.13
12/25/2015,33.14,12/25/2015,1/27/1900,12/25/2015,55.67
1/1/2016,33.795,1/1/2016,1/26/1900,1/1/2016,55.48
1/8/2016,30.353,1/8/2016,1/24/1900,1/8/2016,52.33
1/15/2016,28.509,1/15/2016,1/24/1900,1/15/2016,50.99
1/22/2016,29.819,1/22/2016,1/25/1900,1/22/2016,52.29
1/29/2016,29.35,1/29/2016,1/24/1900,1/29/2016,55.09
2/5/2016,25.107,2/5/2016,1/23/1900,2/5/2016,50.16
2/12/2016,25.354,2/12/2016,1/23/1900,2/12/2016,50.5
2/19/2016,26.745,2/19/2016,1/24/1900,2/19/2016,51.82
2/26/2016,27.762,2/26/2016,1/24/1900,2/26/2016,51.3
3/4/2016,28.757,3/4/2016,1/25/1900,3/4/2016,52.03
3/11/2016,28.481,3/11/2016,1/25/1900,3/11/2016,53.07
3/18/2016,27.604,3/18/2016,1/26/1900,3/18/2016,53.49
3/25/2016,29.148,3/25/2016,1/26/1900,3/25/2016,54.21
4/1/2016,29.925,4/1/2016,1/27/1900,4/1/2016,55.57
4/8/2016,29.73,4/8/2016,1/27/1900,4/8/2016,54.42
4/15/2016,31.295,4/15/2016,1/27/1900,4/15/2016,55.65
4/22/2016,31.025,4/22/2016,1/26/1900,4/22/2016,51.78
4/29/2016,32.98,4/29/2016,1/23/1900,4/29/2016,49.87
5/6/2016,33.698,5/6/2016,1/23/1900,5/6/2016,50.39
5/13/2016,35.496,5/13/2016,1/22/1900,5/13/2016,51.08
5/20/2016,35.14,5/20/2016,1/23/1900,5/20/2016,50.62
5/27/2016,35.612,5/27/2016,1/25/1900,5/27/2016,52.32
6/3/2016,36.277,6/3/2016,1/24/1900,6/3/2016,51.79
6/10/2016,35.896,6/10/2016,1/24/1900,6/10/2016,51.48
6/17/2016,35.32,6/17/2016,1/23/1900,6/17/2016,50.13
6/24/2016,34.948,6/24/2016,1/23/1900,6/24/2016,49.83
7/1/2016,36.284,7/1/2016,1/23/1900,7/1/2016,51.16
7/8/2016,37.29,7/8/2016,1/24/1900,7/8/2016,52.3
7/15/2016,36.772,7/15/2016,1/24/1900,7/15/2016,53.7
7/22/2016,37.243,7/22/2016,1/24/1900,7/22/2016,56.57
7/29/2016,37.941,7/29/2016,1/26/1900,7/29/2016,56.68
